NUTS_ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FR24,0.06382229516470804,0.1028616810406303,0.2973328218477155,0.5942826544613091,0.835564363490117,0.7274912557087517,0.5823843442486247,0.44806370582631583,0.29745748594783616,0.1784442818045951,0.09606270627943567,0.06338549941805574
FR62,0.061541604555793224,0.09786872024252644,0.24233776293902926,0.45512344550414774,0.6518607239698426,0.6864859542246899,0.6125779306956386,0.48716507572845597,0.3269389835889445,0.19309768133055433,0.09720041732312915,0.05968329003330281
FRA5,0.22939655924441504,0.3467645570341461,0.5189250488821554,0.5322634333624899,0.4678752805774993,0.3845760722354195,0.34239277686291764,0.3344741395045598,0.30815703945811407,0.2975986797150886,0.2806935862931529,0.23592583868756248
ITF3,0.2597984895990526,0.35554014508483145,0.7261611105780792,1.3173667470020514,1.942640706256917,1.8041331832766376,1.4466940690026406,1.1197041458305619,0.8862611177513078,0.6254265530926998,0.37919714666406995,0.25092967979102854
ITF4,0.17348739502115113,0.27234252402313547,0.5393144456726798,0.7497774226915008,0.7094064959790501,0.5383413573579326,0.4365632560289428,0.35627525801016163,0.3012319852976748,0.25716651213564873,0.20385516520678937,0.1664102504765673
FR25,0.07537008525097053,0.11995247707278094,0.29293250524956066,0.5081658959053426,0.6685759111489475,0.6769303954418799,0.6201883802009863,0.49718755759624716,0.36175095817753056,0.20554343279804302,0.11345110679410224,0.07065962769694144
ITF6,0.2941127263646034,0.37213199805310815,0.5857537605362169,0.8644644000728465,1.1646360475579804,1.217396823335978,1.0435720195382925,0.8289411897989356,0.7066079506520655,0.5528804955624437,0.3938978662877417,0.2847260119223278
ITH1,0.043148857252217974,0.04937248538301971,0.2038005860555118,0.5422983943002075,1.153134731055901,1.6067306915098156,1.7108404844942209,1.3766859453374887,0.8751979654942408,0.38328616783372843,0.0997045096236545,0.03352259435840418
FR63,0.07776443802367707,0.13009293966529478,0.32780728239244367,0.605124691481414,0.8841953201470368,0.9264981839880978,0.8792144896465326,0.7064851612038778,0.4926963417991664,0.2820443532710671,0.13396265855069903,0.07646771125926377
FR72,0.05798753218120841,0.0990425877386321,0.29023415939045977,0.5583812160992843,0.8200938950654857,0.8823021883928104,0.8078214991027676,0.6698876466076118,0.4648437725154928,0.2628054214148546,0.11945839498341687,0.060681537698451776
ITH2,0.027699006397890774,0.03683867012632869,0.19510867414733687,0.5485519941229564,1.3498785342348028,1.9809021558801807,2.1075700191800193,1.679248294788976,1.0193281974858441,0.4290732401031627,0.10178613121343928,0.03561977808625755
ITH3,0.08936190798923473,0.12561237467599493,0.3561791382334884,0.8290578045249138,1.4703573195846107,2.0384096105504055,2.0462030763441263,1.499506846880622,0.8411173043204261,0.40403836381304553,0.17166778411991002,0.0891788046113712
LT00,0.0014532758278203645,0.002880693981259769,0.060031680103180926,0.3149117169058693,0.9644407882978846,1.3365216577888646,1.171069135093953,0.7893250965003678,0.3917999545136476,0.11978269578373922,0.03866901963728016,0.0030327379470849636
ITG1,0.204224895770861,0.31408518981090777,0.5345863706504247,0.6766761440528825,0.5939886012714256,0.4006447150822998,0.289354582647702,0.21982568620676568,0.2059422475051422,0.2165337350689894,0.21588113596269973,0.18250276078471364
FR71,0.050875359636894546,0.07697626703967017,0.20230862651939457,0.444520687862715,0.7063582972160163,0.8468861109327858,0.8115043124826884,0.6458097622668135,0.4364381252767293,0.2253603872483582,0.09450268187173388,0.05078997499465114
ITH4,0.08216576182848181,0.11651761272808772,0.30150544787277894,0.9178131973535928,1.9777413652238363,2.4852054919948983,2.4333586292053764,1.87537231147413,1.0755780848287626,0.46751819523845783,0.1732757989145725,0.08419911938446788
ITH5,0.06380249907839507,0.09835157529789088,0.2935063200595594,0.6472933407332279,1.0076762102328043,1.086955677921982,0.8955103062565429,0.6401087083441808,0.44353681156244756,0.24454828093492423,0.12303410720597728,0.06627258730956366
LU00,0.04535075292181665,0.06726908379868762,0.2080744529627805,0.49381343394250155,0.7544167542281793,0.8307246063994782,0.7468008417516636,0.6211111650092124,0.3878702851928825,0.19493855439969823,0.07948241678373932,0.042826846409387186
LV00,0.0031522967591739613,0.005029270031991433,0.0394725619922047,0.23429838031735148,0.7559606729834532,1.0932961791010554,1.0176887190161845,0.703012923398253,0.3377448658395534,0.091539297912163,0.0277235674324662,0.004526730553280865
ITG2,0.12350232754976949,0.1915646777269217,0.3171603015240084,0.43188964360643495,0.4380619215863009,0.3291592828176349,0.2532552701160968,0.20263654038684936,0.1768065353740973,0.16429468701573863,0.14491211735761314,0.12052749520308415
NL33,0.0934198077069342,0.10873912180026628,0.2643668759848937,0.6411388937723665,1.0056073436074073,1.3714363044662155,1.2452154066247145,0.9668316967418508,0.6180623264745418,0.32635100185670884,0.15789526836110662,0.0936006103410889
FR81,0.05978002742765961,0.08672671309896046,0.16824325901848547,0.3083254480271919,0.45448428653106293,0.4947035119429249,0.43494224884316723,0.34398321588137043,0.25365482590859034,0.16530502598671265,0.09298935343722332,0.05895097278553911
ITI1,0.19118959538188363,0.2696433873411505,0.5191518811071846,1.0020236712402888,1.5147454251938448,1.4956206541439774,1.2534713720355757,0.9875561880904988,0.7571190459185835,0.5071955667964053,0.29249179235349515,0.1885757152689056
ITI2,0.09556055355249031,0.1362944459807532,0.3044137396500661,0.6264158426604999,0.958452010750483,0.9280551988623132,0.759792070597444,0.6330787407868108,0.45792386067433755,0.29221152824645485,0.1565844665409588,0.09449449936934688
ME00,0.01360146900738208,0.01970501840480186,0.07101156791490387,0.25083809112642325,0.6815790593280575,0.8964348457728467,0.7760408971934746,0.5534333721942033,0.3295570761077063,0.15026069473330234,0.05020124439219254,0.01513110826915031
MK00,0.03239830496945551,0.055740164762205426,0.17335757324614764,0.5350394656357801,1.1082261483085507,1.2074984918029084,0.9753445443102227,0.6946145306223538,0.40995139538455955,0.19704292394016656,0.08448824795571924,0.03318567819773256
MT00,0.32828488787178595,0.4476848122479997,0.5283269217428925,0.4441508435971867,0.3595126383602688,0.33312190211147247,0.28926779766373817,0.24256056188137856,0.22167313151443044,0.26332130835450823,0.300049607873264,0.2962916515958883
NL11,0.07630363071586892,0.10521828143512145,0.2774317795773586,0.6904281444264316,1.0014921060286066,1.3440151770740185,1.3059875973784907,1.0306335337500283,0.6090889761027318,0.29038294584150265,0.1336016081848023,0.07387246948503934
NL34,0.08619494322139903,0.1102550222007414,0.3033804230287799,0.6859840377673575,0.9538495444116806,1.2681550871264946,1.1935280317376618,0.9466633714065412,0.6001821032463487,0.301417235609489,0.14404789714766902,0.08483300250059908
NL41,0.0906606594208986,0.11979617526553779,0.31373334294541994,0.7120256363950981,0.9697981403053427,1.247806637865613,1.2272822215362016,1.0338060727957654,0.6215304822489794,0.31604147963337664,0.15031618500689276,0.08256252345918144
NL42,0.07673683920083196,0.10686919482656594,0.28311488388325484,0.6310228287081739,0.9073142061070743,1.2316676915654532,1.2307210941431104,1.0375943730886266,0.6031157556936119,0.28774046415826704,0.13175660929204078,0.06825892444627064
NO01,0.0,0.004649044790343862,0.06236587617483561,0.3161363650615844,0.7526460679788333,1.1938689543104053,1.1097150815684051,0.7321397045353489,0.4026173351491775,0.13647243433687184,0.03189017776086054,0.0
FR82,0.045945995032380796,0.06455951636196813,0.10960176616094038,0.20374777005327246,0.3249160386356391,0.3798144878397383,0.33252636369207167,0.2538695967713848,0.19084635323583832,0.11976768031076505,0.07072987911529156,0.045893997235153215
ITI3,0.034337646897796045,0.04957950618129387,0.1222435995781371,0.248871309418853,0.37926967479838647,0.3700524560735117,0.2974151267231715,0.22818732538813452,0.1540113155478952,0.08933212655530494,0.05131512124364397,0.03367958326053816
